id,emb,label,name,community
10,"[0.0015241936780512333, 0.0012701305095106363, 0.0028746123425662518, 0.00559613760560751, -0.004832103382796049, -0.003345425007864833, 0.0030825110152363777, -0.0017389118438586593, -0.008080411702394485, -0.0010622380068525672, 0.0021877302788197994, 0.0017749038524925709, 0.005747591610997915, -0.004949559457600117, -0.006958811078220606, 0.005220278166234493, 0.004587667994201183, -0.0073325783014297485, -0.0070053283125162125, -0.005324437748640776, -0.0031886911019682884, 0.003646634519100189, -0.00021374880452640355, 0.0003358104731887579, 0.0030028505716472864, -0.002022872678935528, -0.005743540357798338, 0.004406927153468132, -0.007501593790948391, 0.006815554574131966, -0.0065069072879850864, 0.006022308021783829, -0.0072568426840007305, -0.005156226456165314, 0.005363292060792446, -0.007168926764279604, -0.003280657110735774, -0.0004996531642973423, 0.006527648773044348, 0.0025088719557970762, 0.0036515078973025084, -0.004098236560821533, -0.004444696940481663, -0.002829387318342924, -0.0020106846932321787, -0.004471875261515379, 0.003281894139945507, 0.003651699051260948, -0.005371750798076391, 0.004370405804365873, 0.0024546748027205467, -0.007872304879128933, -0.0006498491275124252, -0.0005786674446426332, -0.007281115744262934, 0.005426818039268255, -0.0017038318328559399, 0.0003847643092740327, -0.0007940966170281172, 0.005989767145365477, -0.001718555111438036, -0.005984521005302668, -0.0007386885117739439, -0.005966708064079285]",Singer,Tiên Tiên,6
11,"[0.004060937557369471, -0.0014896774664521217, 0.004920297767966986, 0.0011739734327420592, -0.007291609887033701, 0.007253259886056185, 0.006557940039783716, -0.003270236775279045, -0.005465551745146513, -0.0019234450301155448, 0.006262810435146093, 0.003694209735840559, 0.003384007140994072, -0.004008876159787178, -0.0019956580363214016, -0.002716303337365389, -0.0062348064966499805, 0.0037105795927345753, -0.005554520525038242, 0.0009609549306333065, -0.005835483316332102, -0.006783840246498585, 0.006519966293126345, 9.539241000311449e-05, 0.0048330496065318584, 0.006972439121454954, -0.008217805065214634, -0.0007807259098626673, -0.00766872288659215, -0.0038852898869663477, 0.005108780227601528, 0.002999289892613888, -0.0015476798871532083, -0.0037289473693817854, -0.003999039530754089, 0.0028223665431141853, 0.0043403333984315395, -0.007375131826847792, 0.004041988868266344, -0.0061189294792711735, 0.004963773302733898, 0.004597050603479147, 0.001396804116666317, -0.006073290016502142, -0.0027186195366084576, 0.006314395926892757, 0.0010911982972174883, -0.0017045321874320507, -0.0018626126693561673, 0.0037975069135427475, 0.0057449438609182835, -0.006169504020363092, -0.001111266203224659, 0.0013980775838717818, 0.007476756814867258, -0.0071199205704033375, 0.00010205188300460577, 0.00678988266736269, 0.0040264977142214775, 0.001971610588952899, -0.00555039569735527, -0.002700547454878688, 0.0026187472976744175, 0.0008075178484432399]",Singer,Hà Lê,2
12,"[0.005837872624397278, 0.0016422102926298976, -0.003922967705875635, -0.001888931728899479, -9.526924986857921e-05, 0.0027274612803012133, 0.0016631523612886667, -0.003371778642758727, -0.004562651738524437, -0.0025641112588346004, -0.00725539168342948, -0.007804662920534611, 0.004324016626924276, 0.006366716232150793, -0.0072210244834423065, -0.0035866773687303066, 0.0028349722269922495, -0.0034601332154124975, -0.007266123313456774, 0.008617346175014973, 0.007268020883202553, -0.0033226553350687027, -0.006306298542767763, -0.0037628724239766598, 0.005018182564526796, -0.0018965594936162233, 0.005939390975981951, -0.006114455405622721, -0.0008580777794122696, -0.0016044133808463812, 0.00012610360863618553, -0.006640201900154352, 0.0017077913507819176, -0.000806718657258898, 0.004782637115567923, -0.002701768884435296, 0.0018163485219702125, 0.007900684140622616, 0.0029486045241355896, 0.00020091499027330428, -0.0012675239704549313, -0.006798495538532734, 0.0029931548051536083, 0.008794889785349369, 0.00249769096262753, 0.0029920581728219986, 0.00417918898165226, -0.0008495840011164546, 0.0008597031119279563, -0.006768475286662579, 0.006661388091742992, 0.004712150432169437, 0.003363561350852251, -0.006532126571983099, -0.005526606924831867, -0.004180908668786287, -0.003845582716166973, 0.0036836592480540276, -0.003347107209265232, 0.006546965334564447, -0.00020207493798807263, 0.005601053591817617, 0.002493982668966055, 0.0013876823941245675]",Singer,Trần Thanh Phương,6
13,"[0.006590583827346563, -0.006708637811243534, 0.0016394018894061446, -0.004421353340148926, -0.0010389848612248898, 0.001499426201917231, 0.006058136932551861, -0.004193685483187437, 0.007872825488448143, -0.0021825763396918774, 0.0023614855017513037, -0.002666081301867962, -0.003896250855177641, -0.005083514377474785, -0.003395437728613615, 0.0025972144212573767, -0.007075136993080378, 0.00035988324088975787, -0.00370720773935318, 0.007394571788609028, 0.00275983358733356, -0.000982975703664124, -0.0021350376773625612, 0.009263602085411549, 0.007094722706824541, -0.00042043690336868167, -0.006642504129558802, -0.006137026008218527, -0.004686702508479357, -0.004889539442956448, 7.761149026919156e-05, 0.004265984985977411, 0.0029752268455922604, -0.0028295062948018312, 0.004516474902629852, -0.00015959993470460176, 0.006293551065027714, -0.0022447353694587946, 0.0015360437100753188, -0.001868660794571042, 0.007187558338046074, -0.0056206658482551575, 0.006507509853690863, -0.0022775016259402037, 0.0009699139627628028, -0.004379389341920614, -0.0025281081907451153, 0.002966164844110608, -0.00650451797991991, 0.0009894240647554398, 0.002352038398385048, 0.0024475089740008116, 0.0012961807660758495, 0.004135408904403448, 0.0038511708844453096, 0.0030144411139190197, 0.005265756044536829, -0.007658891845494509, -0.0020046718418598175, 0.005975072272121906, -0.003662948729470372, -0.005373858381062746, 0.0010965714463964105, -0.0040579731576144695]",Singer,Huỳnh Nhật Tân,5
14,"[0.004371380899101496, -0.004163003992289305, -0.00421073567122221, 0.006209013517946005, 0.0043125818483531475, -0.0030346333514899015, -0.0012752884067595005, -0.003793446347117424, -0.0053234039805829525, -0.003480561077594757, 0.0038522540125995874, -6.097562436480075e-05, -0.0014726928202435374, 0.004801091738045216, 0.005257849115878344, 0.0011220499873161316, 0.0008296424057334661, -0.006639174185693264, -0.004562647081911564, -0.005532046314328909, -0.0006634516175836325, 0.0029044621624052525, 0.0010463304352015257, 0.0032638809643685818, 0.006355329882353544, 0.003361266339197755, -0.008117043413221836, 0.004687747452408075, -0.00015254034951794893, -0.005124235525727272, -0.0029842089861631393, -0.005289171822369099, -0.007974047213792801, -0.00407074298709631, -0.0018656888278201222, -0.006645214278250933, 0.0068632811307907104, -0.004057245794683695, 0.001277480972930789, 0.003245824947953224, -0.00039726137765683234, -0.0005648194928653538, -0.0033213929273188114, -0.004640547558665276, 0.00621000537648797, -0.006017717067152262, 0.0009889784269034863, 0.0001310473890043795, -0.003286713268607855, -0.007686256431043148, 0.0027867178432643414, -0.0005396788474172354, -0.006290193647146225, -0.006173958070576191, 0.007063645403832197, 0.007245643064379692, 0.0030239098705351353, 0.006634148769080639, -0.007589286658912897, -0.00385818793438375, 0.003755150130018592, 0.004073071759194136, 0.0038295569829642773, -0.001753857359290123]",Singer,Nguyên Thảo,4
15,"[0.005627121776342392, -0.006210074760019779, -0.005138220731168985, 0.0018725108820945024, 0.0007991850725375116, 0.0019864868372678757, -0.004740941803902388, -0.007835621945559978, -0.00213493756018579, -0.005660891067236662, -0.001145777991041541, 0.0019907476380467415, -0.0061568450182676315, -0.0033977925777435303, 0.0037738385144621134, 0.0021701904479414225, -0.002893666969612241, 0.0033923627343028784, -0.006791027262806892, -0.009439782239496708, 0.006951678544282913, -0.004080041777342558, 0.006934639066457748, 0.001628346391953528, 0.0002401322271907702, -0.005209265276789665, 0.004577852785587311, -0.007689226884394884, 0.003560115583240986, 0.004333102609962225, -0.0013617967488244176, -7.031009590718895e-05, 0.0010497779585421085, -0.0018783574923872948, -0.007174592465162277, 0.004434583242982626, -0.0029902206733822823, 0.002025188645347953, 0.00801614299416542, 0.0001333682594122365, 0.004478569142520428, -0.003927086945623159, 0.002369537716731429, 0.0011861107777804136, 0.00462402543053031, -0.006687602959573269, -0.006113988813012838, -0.0021549288649111986, -0.003805730026215315, 0.0015772499609738588, 0.001046266290359199, 0.006005613133311272, 0.009352962486445904, -0.0033293820451945066, -0.000540252891369164, 0.0020577097311615944, 0.005814120173454285, -0.000855935038998723, -0.006244149059057236, 0.005991595797240734, -0.008253255859017372, 0.0018778318772092462, 0.004603607580065727, -0.005840493366122246]",Singer,Trường Vũ,0
16,"[0.0014159075217321515, -0.0012253150343894958, 0.0019054239382967353, 0.0022345304023474455, 0.008589167147874832, -0.0010261781280860305, 0.005152604077011347, -0.00781535729765892, -0.0022099819034337997, -0.0027690932620316744, 0.00025075720623135567, 0.006822109222412109, -0.0030922326259315014, 0.004127545282244682, -0.0016392271500080824, -0.001205568085424602, 0.0071788509376347065, -0.0025599875953048468, -0.007263790350407362, -0.0024790335446596146, 0.0015692979795858264, 0.0020452875178307295, -0.007101096212863922, -0.0006739457603543997, -0.001010664738714695, -0.0002879048406612128, 0.004606248810887337, 0.0030487447511404753, -0.0036243281792849302, 0.006677005439996719, -0.005174894351512194, 0.007256905548274517, 0.005386860575526953, -0.0025496454909443855, 0.0034222726244479418, -0.0014115313533693552, -0.0036428950261324644, 0.0015631502028554678, -0.00644360575824976, 0.007669182028621435, -0.005062211770564318, 0.0011165617033839226, 0.004579124040901661, -0.002598936902359128, -0.004311889875680208, 0.004087135661393404, -0.005672030616551638, -0.0035050276201218367, -0.00025015187566168606, -0.006001404486596584, 0.002993436763063073, -0.00024431449128314853, -0.002585412934422493, 0.00391363725066185, 0.00048740956117399037, 0.004113117232918739, 0.003119220957159996, 0.000671135785523802, 0.0025201488751918077, -0.005296070594340563, -0.001292798318900168, -0.003531708847731352, 0.004369642119854689, -0.00406903401017189]",Singer,Phạm Đình Chương,9
17,"[0.0036868706811219454, 0.004318052437156439, 0.007029303349554539, -0.0033973136451095343, 0.005601802375167608, -0.002256241161376238, -0.00524617126211524, -0.005821316037327051, -0.0037428918294608593, -0.004369867965579033, -0.007767686154693365, -0.0032788007520139217, 0.006027029827237129, -0.0028527523390948772, -9.78608222794719e-05, 0.005914428737014532, -0.005065449047833681, 0.0012271594023332, -0.0039329249411821365, -0.002431535627692938, 0.0026136296801269054, 0.0035574515350162983, -0.0019107437692582607, -0.00681857718154788, 0.005241726990789175, 0.002208115067332983, 0.006348887458443642, 0.004487230908125639, 0.005762804299592972, 0.0009078450966626406, -0.004930285736918449, 0.002312564989551902, 0.008080960251390934, -0.0018588517559692264, 0.0033651331905275583, 0.0020064585842192173, -0.0007769238436594605, 0.003902875352650881, 0.0081803472712636, 0.004212750121951103, 0.004035632126033306, 0.0008302031783387065, -0.007503081578761339, 0.007056380156427622, -0.00654865987598896, -0.0008882886031642556, 0.006027846597135067, -0.0030302659142762423, 0.005962279625236988, 0.0018391958437860012, -0.005544524639844894, -0.0009965576464310288, -0.0034432397224009037, 0.0009452152298763394, -0.004649762995541096, -0.002296718303114176, -0.00420682318508625, 0.0034676752984523773, 0.007184403948485851, -0.005416580941528082, -0.007007616572082043, -0.0006142996717244387, 0.0035427643451839685, 0.0022794227115809917]",Singer,Xuân Hinh,8
18,"[0.0008821501978673041, 0.006683986634016037, -0.0009700107621029019, 0.008179332129657269, -0.0038667279295623302, 0.007102693431079388, 0.0033750401344150305, -0.006199057213962078, -0.002581618493422866, -0.000992473098449409, -0.0037334111984819174, -0.0015621207421645522, -0.007421649526804686, 0.004693484399467707, -0.005270384717732668, 0.006130770314484835, 0.006208045873790979, -0.0026160876732319593, -0.005641130730509758, 0.0023264146875590086, -0.004846811760216951, -0.009072498418390751, 0.0019523935625329614, 0.006629602052271366, 0.0028272662311792374, 0.007923695258796215, 0.005500230006873608, -0.000912237330339849, -0.0032139539252966642, 0.0022831351961940527, 0.005499151535332203, -0.007509741000831127, -0.005053331609815359, -0.0008153562084771693, -0.003029664745554328, -0.004802849143743515, 0.0003512750845402479, 0.004615792538970709, 0.007423075847327709, -0.0045627704821527, -0.004242340102791786, 0.006163439713418484, -0.00291000516153872, 0.0015349099412560463, -0.0007884841179475188, -0.004063672386109829, 0.007432303857058287, -0.0028957172762602568, -0.006669152528047562, -0.005597318056970835, -0.0031520233023911715, -0.006322571542114019, 0.0016720861895009875, 0.006298597902059555, -0.002868418814614415, -0.0004722064477391541, -0.007805668283253908, 0.002663040766492486, -0.0005752915749326348, 0.0012196272145956755, -0.0010529198916628957, -0.006166622042655945, 0.004192465450614691, 0.006270117592066526]",Singer,Trần Thu Hà,6
19,"[0.0033785102423280478, 0.005393278785049915, -0.0008887905860319734, 0.005369097460061312, -0.006822805851697922, -0.003021477721631527, 0.0019376941490918398, 0.007755984552204609, 0.002942346502095461, -0.00496914004907012, 0.004514570813626051, 0.00031759910052642226, 0.004779467359185219, -0.005815829616039991, 0.007042256649583578, 0.004227104131132364, 0.0022136352490633726, 0.006067994982004166, 0.0064009083434939384, -0.0003723670670296997, 0.0020428914576768875, 0.0005328659317456186, 0.006391376256942749, 0.005415582563728094, -0.004155355505645275, -0.0008527030004188418, 0.001946358708664775, 0.0021231253631412983, 0.0024073936510831118, -0.0022870723623782396, -0.00720991101115942, -0.002459228038787842, 0.004636853933334351, -0.0001971856690943241, 0.0071638161316514015, 0.006942220032215118, 0.0076042357832193375, -0.0031850032974034548, -0.0058584571816027164, 0.00775913754478097, 0.0010434535797685385, 0.005631891079246998, 0.002806465607136488, 0.008078387938439846, -0.0031864505726844072, -0.004405072424560785, -0.0015365892322733998, -0.0034443645272403955, -0.005136929918080568, 0.0008507295860908926, -0.00533325644209981, 0.0004431164124980569, 0.0007570064044557512, -0.00832376442849636, 0.006773481145501137, -0.005369169637560844, -0.004720304626971483, -0.0040436070412397385, 0.001884574186988175, -0.00640944903716445, 0.0063524614088237286, 0.007708650082349777, -0.007422944530844688, 0.004133701324462891]",Singer,Bằng Kiều,2
